start,end,duration_min
2019-06-16 21:10:00,2019-06-17 10:00:00,770.0
2019-06-17 10:15:00,2019-06-17 11:55:00,100.0
2019-06-17 12:10:00,2019-06-17 12:40:00,30.0
2019-06-17 12:55:00,2019-06-17 15:20:00,145.0
2019-06-17 15:30:00,2019-06-17 17:20:00,110.0
2019-06-17 17:30:00,2019-06-17 20:45:00,195.0
2019-06-17 21:10:00,2019-06-17 21:50:00,40.0
2019-06-17 22:05:00,2019-06-18 16:05:00,1080.0
2019-06-18 16:15:00,2019-06-19 03:30:00,675.0
2019-06-19 03:45:00,2019-06-20 22:45:00,2580.0
2019-08-02 14:55:00,2019-08-02 17:30:00,155.0
2019-08-02 17:45:00,2019-08-13 12:25:00,15520.0
2019-09-27 16:50:00,2019-09-28 19:10:00,1580.0
2019-09-28 19:30:00,2019-09-28 20:25:00,55.0
2019-09-28 20:35:00,2019-09-29 04:05:00,450.0
2019-09-29 04:25:00,2019-09-29 10:25:00,360.0
2019-09-29 11:25:00,2019-10-03 23:50:00,6505.0
2019-10-04 00:15:00,2019-10-04 01:40:00,85.0
2019-10-04 02:00:00,2019-10-04 12:30:00,630.0
2019-10-04 12:50:00,2019-10-05 02:40:00,830.0
2019-10-05 02:55:00,2019-10-13 14:30:00,12215.0
2019-10-13 14:50:00,2019-10-13 22:55:00,485.0
2019-10-14 00:20:00,2019-10-14 01:05:00,45.0
2019-10-14 01:30:00,2019-10-17 12:20:00,4970.0
2019-10-17 12:35:00,2019-10-17 16:00:00,205.0
2019-10-17 16:25:00,2019-10-17 18:00:00,95.0
2019-10-17 18:20:00,2019-10-18 08:55:00,875.0
2019-10-18 09:50:00,2019-10-18 10:45:00,55.0
2019-10-18 12:20:00,2019-10-18 12:50:00,30.0
2019-10-18 13:10:00,2019-10-18 17:15:00,245.0
2019-10-18 17:50:00,2019-10-19 04:10:00,620.0
2019-10-19 04:40:00,2019-10-19 08:50:00,250.0
2019-10-19 09:15:00,2019-10-19 14:45:00,330.0
2019-10-19 15:40:00,2019-10-19 17:55:00,135.0
2019-10-19 18:10:00,2019-10-20 20:45:00,1595.0
2019-10-20 21:05:00,2019-10-22 11:30:00,2305.0
2019-10-22 11:50:00,2019-10-24 09:00:00,2710.0
2019-12-01 10:10:00,2019-12-11 22:20:00,15130.0
2019-12-11 22:40:00,2019-12-23 17:05:00,16945.0
2019-12-23 17:55:00,2019-12-23 20:35:00,160.0
2020-03-24 07:40:00,2020-03-24 08:15:00,35.0
2020-03-24 23:20:00,2020-03-25 16:40:00,1040.0
2020-03-25 17:15:00,2020-03-26 20:35:00,1640.0
2020-03-26 20:55:00,2020-03-29 13:50:00,3895.0
2020-03-29 14:15:00,2020-03-31 05:40:00,2365.0
2020-03-31 06:00:00,2020-03-31 17:35:00,695.0
2020-03-31 18:00:00,2020-04-02 06:40:00,2200.0
2020-04-02 06:50:00,2020-04-02 07:40:00,50.0
2020-04-02 08:05:00,2020-04-02 09:50:00,105.0
2020-04-02 10:00:00,2020-04-04 23:40:00,3700.0
2020-04-04 23:55:00,2020-04-06 17:05:00,2470.0
2020-04-06 17:20:00,2020-04-06 19:40:00,140.0
2020-04-06 20:05:00,2020-04-06 21:00:00,55.0
2020-04-06 21:10:00,2020-04-07 00:25:00,195.0
2020-04-07 00:45:00,2020-04-08 13:55:00,2230.0
2020-04-08 14:20:00,2020-04-08 16:40:00,140.0
2020-04-08 17:05:00,2020-04-08 17:50:00,45.0
2020-04-08 18:10:00,2020-04-09 13:40:00,1170.0
